timestamp,temperature_c,precipitation_mm,wind_speed_kmh,ingestion_time
2026-02-02T00:00,8.0,1.6,3.7,2026-02-02T22:00:05
2026-02-02T01:00,9.3,0.5,9.0,2026-02-02T22:00:05
2026-02-02T02:00,9.8,0.2,9.1,2026-02-02T22:00:05
2026-02-02T03:00,9.8,0.0,9.5,2026-02-02T22:00:05
2026-02-02T04:00,9.7,0.0,10.5,2026-02-02T22:00:05
2026-02-02T05:00,9.3,0.4,11.8,2026-02-02T22:00:05
2026-02-02T06:00,9.0,0.2,13.1,2026-02-02T22:00:05
2026-02-02T07:00,8.9,0.1,13.4,2026-02-02T22:00:05
2026-02-02T08:00,8.6,1.4,14.2,2026-02-02T22:00:05
2026-02-02T09:00,8.3,0.9,13.7,2026-02-02T22:00:05
2026-02-02T10:00,8.5,1.9,14.3,2026-02-02T22:00:05
2026-02-02T11:00,8.0,0.6,18.6,2026-02-02T22:00:05
2026-02-02T12:00,7.6,0.0,18.9,2026-02-02T22:00:05
2026-02-02T13:00,8.3,0.0,20.5,2026-02-02T22:00:05
2026-02-02T14:00,8.8,0.0,21.8,2026-02-02T22:00:05
2026-02-02T15:00,8.4,0.0,21.2,2026-02-02T22:00:05
2026-02-02T16:00,7.6,0.0,19.8,2026-02-02T22:00:05
2026-02-02T17:00,6.8,0.0,18.5,2026-02-02T22:00:05
2026-02-02T18:00,6.1,0.0,16.4,2026-02-02T22:00:05
2026-02-02T19:00,5.7,0.0,15.3,2026-02-02T22:00:05
2026-02-02T20:00,5.7,0.0,14.3,2026-02-02T22:00:05
2026-02-02T21:00,5.8,0.0,13.7,2026-02-02T22:00:05
2026-02-02T22:00,5.6,0.0,13.0,2026-02-02T22:00:05
2026-02-02T23:00,5.5,0.1,13.5,2026-02-02T22:00:05
2026-02-03T00:00,5.4,0.0,13.7,2026-02-02T22:00:05
2026-02-03T01:00,5.2,0.0,13.7,2026-02-02T22:00:05
2026-02-03T02:00,5.1,0.1,11.5,2026-02-02T22:00:05
2026-02-03T03:00,4.9,0.1,10.9,2026-02-02T22:00:05
2026-02-03T04:00,4.9,0.1,11.2,2026-02-02T22:00:05
2026-02-03T05:00,4.8,0.1,10.4,2026-02-02T22:00:05
2026-02-03T06:00,4.7,0.0,10.7,2026-02-02T22:00:05
2026-02-03T07:00,4.5,0.0,10.0,2026-02-02T22:00:05
2026-02-03T08:00,4.5,0.1,10.8,2026-02-02T22:00:05
2026-02-03T09:00,5.0,0.0,11.8,2026-02-02T22:00:05
2026-02-03T10:00,5.3,0.2,13.3,2026-02-02T22:00:05
2026-02-03T11:00,6.1,0.2,13.8,2026-02-02T22:00:05
2026-02-03T12:00,7.2,0.1,16.1,2026-02-02T22:00:05
2026-02-03T13:00,7.8,0.0,15.6,2026-02-02T22:00:05
2026-02-03T14:00,8.4,0.1,16.7,2026-02-02T22:00:05
2026-02-03T15:00,7.9,0.1,17.6,2026-02-02T22:00:05
2026-02-03T16:00,7.2,0.0,15.6,2026-02-02T22:00:05
2026-02-03T17:00,6.4,0.0,14.0,2026-02-02T22:00:05
2026-02-03T18:00,5.8,0.0,11.5,2026-02-02T22:00:05
2026-02-03T19:00,5.5,0.0,12.0,2026-02-02T22:00:05
2026-02-03T20:00,5.5,0.0,10.2,2026-02-02T22:00:05
2026-02-03T21:00,5.4,0.3,10.0,2026-02-02T22:00:05
2026-02-03T22:00,5.2,0.7,9.1,2026-02-02T22:00:05
2026-02-03T23:00,5.0,1.1,10.8,2026-02-02T22:00:05
2026-02-04T00:00,5.0,1.7,11.4,2026-02-02T22:00:05
2026-02-04T01:00,4.7,1.0,10.9,2026-02-02T22:00:05
2026-02-04T02:00,4.6,0.7,6.9,2026-02-02T22:00:05
2026-02-04T03:00,4.4,1.8,5.1,2026-02-02T22:00:05
2026-02-04T04:00,4.4,1.0,0.8,2026-02-02T22:00:05
2026-02-04T05:00,4.4,0.2,1.8,2026-02-02T22:00:05
2026-02-04T06:00,4.3,0.0,2.3,2026-02-02T22:00:05
2026-02-04T07:00,4.2,0.0,4.5,2026-02-02T22:00:05
2026-02-04T08:00,4.4,0.0,5.2,2026-02-02T22:00:05
